Search Warrant #,Type of Warrant,Date,Address Merged,Address,,,City,State,Country,
12SW4148,SEARCH,13-Jan-12,7000 S HALSTED ST,7000,S,HALSTED ST,CHICAGO,ILLINOIS,USA,N
12SW4118,SEARCH,13-Jan-12,2600 S CALIFORNIA AVE,2600,S,CALIFORNIA AVE,CHICAGO,ILLINOIS,USA,N
12SW4191,SEARCH,13-Jan-12,4900 W CORTEZ ST,4900,W,CORTEZ ST,CHICAGO,ILLINOIS,USA,N
12SW4159,SEARCH,13-Jan-12,6500 S JUSTINE ST,6500,S,JUSTINE ST,CHICAGO,ILLINOIS,USA,Y
12SW4158,SEARCH,13-Jan-12,6500 S JUSTINE ST,6500,S,JUSTINE ST,CHICAGO,ILLINOIS,USA,N
12SW4177,SEARCH,13-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4194,SEARCH,13-Jan-12,6700 S CARPENTER ST,6700,S,CARPENTER ST,CHICAGO,ILLINOIS,USA,Y
12SW4164,SEARCH,13-Jan-12,700 W MARQUETTE RD,700,W,MARQUETTE RD,CHICAGO,ILLINOIS,USA,N
12SW4190,SEARCH,13-Jan-12,2500 E 74TH ST,2500,E,74TH ST,CHICAGO,ILLINOIS,USA,Y
13SW4196,SEARCH,13-Jan-12,5700 W NORTH AVE,5700,W,NORTH AVE,CHICAGO,ILLINOIS,USA,N
12SW4197,SEARCH,13-Jan-12,2600 S CALIFORNIA AVE,2600,S,CALIFORNIA AVE,CHICAGO,ILLINOIS,USA,N
12SW4187,SEARCH,13-Jan-12,2600 S CALIFORNIA AVE,2600,S,CALIFORNIA AVE,CHICAGO,ILLINOIS,USA,N
12SW4186,SEARCH,13-Jan-12,2600 S CALIFORNIA AVE,2600,S,CALIFORNIA AVE,CHICAGO,ILLINOIS,USA,N
12SW4199,SEARCH,13-Jan-12,2300 W 35TH PL,2300,W,35TH PL,CHICAGO,ILLINOIS,USA,N
12SW4134,SEARCH,13-Jan-12,7500 S JEFFERY BLVD,7500,S,JEFFERY BLVD,CHICAGO,ILLINOIS,USA,Y
12SW4189,SEARCH,14-Jan-12,6900 S LAFLIN ST,6900,S,LAFLIN ST,CHICAGO,ILLINOIS,USA,Y
12SW4207,SEARCH,14-Jan-12,5200 N LIND AVE,5200,N,LIND AVE,CHICAGO,ILLINOIS,USA,Y
12SW4198,SEARCH,14-Jan-12,3800 W 55TH PL,3800,W,55TH PL,CHICAGO,ILLINOIS,USA,N
12SW4211,SEARCH,15-Jan-12,9300 S ELIZABETH ST,9300,S,ELIZABETH ST,CHICAGO,ILLINOIS,USA,N
12SW4216,SEARCH,15-Jan-12,6900 S EBERHART AVE,6900,S,EBERHART AVE,CHICAGO,ILLINOIS,USA,Y
12SW4214,SEARCH,15-Jan-12,2700 N MOZART ST,2700,N,MOZART ST,CHICAGO,ILLINOIS,USA,N
12SW4213,SEARCH,15-Jan-12,800 S KEELER AVE,800,S,KEELER AVE,CHICAGO,ILLINOIS,USA,Y
12SW4230,SEARCH,16-Jan-12,8600 S COLFAX AVE,8600,S,COLFAX AVE,CHICAGO,ILLINOIS,USA,Y
12SW4232,SEARCH,16-Jan-12,5500 W RICE ST,5500,W,RICE ST,CHICAGO,ILLINOIS,USA,Y
12SW4223,SEARCH,17-Jan-12,4000 W MONROE ST,4000,W,MONROE ST,CHICAGO,ILLINOIS,USA,Y
12SW4222,SEARCH,17-Jan-12,4000 W MONROE ST,4000,W,MONROE ST,CHICAGO,ILLINOIS,USA,Y
12SW4241,SEARCH,17-Jan-12,4800 W ADAMS ST,4800,W,ADAMS ST,CHICAGO,ILLINOIS,USA,Y
12SW4240,SEARCH,17-Jan-12,6200 S MORGAN ST,6200,S,MORGAN ST,CHICAGO,ILLINOIS,USA,N
12SW4252,SEARCH,17-Jan-12,600 W 61ST PL,600,W,61ST PL,CHICAGO,ILLINOIS,USA,Y
12SW4255,SEARCH,17-Jan-12,4200 S ROCKWELL ST,4200,S,ROCKWELL ST,CHICAGO,ILLINOIS,USA,N
12SW4257,SEARCH,17-Jan-12,1200 S FAIRFIELD AVE,1200,S,FAIRFIELD AVE,CHICAGO,ILLINOIS,USA,N
12SW4260,SEARCH,17-Jan-12,4500 S LAWLER AVE,4500,S,LAWLER AVE,CHICAGO,ILLINOIS,USA,Y
12SW4259,SEARCH,17-Jan-12,4500 S LAWLER AVE,4500,S,LAWLER AVE,CHICAGO,ILLINOIS,USA,N
12SW4261,SEARCH,17-Jan-12,3300 W CHICAGO AVE,3300,W,CHICAGO AVE,CHICAGO,ILLINOIS,USA,N
12SW4245,SEARCH,18-Jan-12,0 N LA SALLE ST,0,N,LA SALLE ST,CHICAGO,ILLINOIS,USA,N
12SW4251,SEARCH,18-Jan-12,6300 S ST LAWRENCE AVE,6300,S,ST LAWRENCE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4219,SEARCH,18-Jan-12,600 E 50TH ST,600,E,50TH ST,CHICAGO,ILLINOIS,USA,N
12SW4253,SEARCH,18-Jan-12,3700 W WILSON AVE,3700,W,WILSON AVE,CHICAGO,ILLINOIS,USA,Y
12SW4254,SEARCH,18-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4274,SEARCH,18-Jan-12,8600 S EXCHANGE AVE,8600,S,EXCHANGE AVE,CHICAGO,ILLINOIS,USA,N
12SW4268,SEARCH,18-Jan-12,6800 S ELIZABETH ST,6800,S,ELIZABETH ST,CHICAGO,ILLINOIS,USA,Y
12SW4264,SEARCH,18-Jan-12,4000 W MAYPOLE AVE,4000,W,MAYPOLE AVE,CHICAGO,ILLINOIS,USA,N
12SW4271,SEARCH,18-Jan-12,900 N ST LOUIS AVE,900,N,ST LOUIS AVE,CHICAGO,ILLINOIS,USA,N
12SW4280,SEARCH,18-Jan-12,1600 S DRAKE AVE,1600,S,DRAKE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4202,SEARCH,18-Jan-12,1100 S FRANCISCO AVE,1100,S,FRANCISCO AVE,CHICAGO,ILLINOIS,USA,Y
12SW4279,SEARCH,18-Jan-12,5700 S GREEN ST,5700,S,GREEN ST,CHICAGO,ILLINOIS,USA,Y
12SW4270,SEARCH,18-Jan-12,2100 N LAWNDALE AVE,2100,N,LAWNDALE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4273,SEARCH,19-Jan-12,8600 S EXCHANGE AVE,8600,S,EXCHANGE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4049,SEARCH,19-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4250,SEARCH,19-Jan-12,9200 S YATES BLVD,9200,S,YATES BLVD,CHICAGO,ILLINOIS,USA,Y
12SW4276,SEARCH,19-Jan-12,900 N ST LOUIS AVE,900,N,ST LOUIS AVE,CHICAGO,ILLINOIS,USA,Y
12SW4284,SEARCH,19-Jan-12,4700 W POLK ST,4700,W,POLK ST,CHICAGO,ILLINOIS,USA,Y
12SW4296,SEARCH,19-Jan-12,600 N HAMLIN AVE,600,N,HAMLIN AVE,CHICAGO,ILLINOIS,USA,Y
12SW4266,SEARCH,20-Jan-12,500 W 128TH ST,500,W,128TH ST,CHICAGO,ILLINOIS,USA,Y
12SW4297,SEARCH,20-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,Y
12SW4294,SEARCH,20-Jan-12,900 N LOCKWOOD AVE,900,N,LOCKWOOD AVE,CHICAGO,ILLINOIS,USA,Y
12SW4293,SEARCH,20-Jan-12,900 N LOCKWOOD AVE,900,N,LOCKWOOD AVE,CHICAGO,ILLINOIS,USA,Y
12SW4303,SEARCH,20-Jan-12,5500 W GRAND AVE,5500,W,GRAND AVE,CHICAGO,ILLINOIS,USA,N
12SW4307,SEARCH,20-Jan-12,5100 W EDDY ST,5100,W,EDDY ST,CHICAGO,ILLINOIS,USA,Y
12SW4301,SEARCH,20-Jan-12,200 N KEYSTONE AVE,200,N,KEYSTONE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4229,SEARCH,21-Jan-12,5900 S MOZART ST,5900,S,MOZART ST,CHICAGO,ILLINOIS,USA,Y
12SW4299,SEARCH,21-Jan-12,5500 S WINCHESTER AVE,5500,S,WINCHESTER AVE,CHICAGO,ILLINOIS,USA,Y
12SW4321,SEARCH,22-Jan-12,2000 N WESTERN AVE,2000,N,WESTERN AVE,CHICAGO,ILLINOIS,USA,N
12SW4316,SEARCH,22-Jan-12,5500 S LOOMIS BLVD,5500,S,LOOMIS BLVD,CHICAGO,ILLINOIS,USA,Y
12SW4315,SEARCH,22-Jan-12,5400 S LAFLIN ST,5400,S,LAFLIN ST,CHICAGO,ILLINOIS,USA,Y
12SW4317,SEARCH,22-Jan-12,1300 W 73RD ST,1300,W,73RD ST,CHICAGO,ILLINOIS,USA,Y
12SW4312,SEARCH,22-Jan-12,3600 N ALBANY AVE,3600,N,ALBANY AVE,CHICAGO,ILLINOIS,USA,N
12SW4309,SEARCH,22-Jan-12,900 E 104TH ST,900,E,104TH ST,CHICAGO,ILLINOIS,USA,Y
12SW4314,SEARCH,22-Jan-12,11800 S PRINCETON AVE,11800,S,PRINCETON AVE,CHICAGO,ILLINOIS,USA,N
12SW4320,SEARCH,22-Jan-12,4000 S ARTESIAN AVE,4000,S,ARTESIAN AVE,CHICAGO,ILLINOIS,USA,N
12SW4313,SEARCH,22-Jan-12,10100 S PEORIA ST,10100,S,PEORIA ST,CHICAGO,ILLINOIS,USA,Y
12SW4324,SEARCH,23-Jan-12,1200 N MAPLEWOOD AVE,1200,N,MAPLEWOOD AVE,CHICAGO,ILLINOIS,USA,Y
12SW4329,SEARCH,23-Jan-12,5800 S WOLCOTT AVE,5800,S,WOLCOTT AVE,CHICAGO,ILLINOIS,USA,Y
